time	V(out1)	V(out2)	V(out3)
Step Information: Cap=1p  (Step: 1/4)
1.686733198807885e-01	1.575552e+01	2.528017e+01	3.145654e+01
1.688869429276635e-01	1.569017e+01	2.515009e+01	3.132510e+01
1.692531538651635e-01	1.546703e+01	2.470529e+01	3.087792e+01
1.697414351151635e-01	1.516179e+01	2.409757e+01	3.026705e+01
1.707179976151635e-01	1.455108e+01	2.289496e+01	2.905813e+01
1.716945601151635e-01	1.394085e+01	2.174305e+01	2.789992e+01
1.718166304276635e-01	1.385228e+01	2.161169e+01	2.776778e+01
1.720607710526635e-01	1.365293e+01	2.138179e+01	2.753632e+01
1.725490523026635e-01	1.329125e+01	2.099748e+01	2.714891e+01
1.735256148026635e-01	1.267397e+01	2.035989e+01	2.650515e+01
1.736476851151635e-01	1.261373e+01	2.029757e+01	2.644207e+01
1.738918257401635e-01	1.252628e+01	2.020638e+01	2.634934e+01
1.739528608964135e-01	1.251177e+01	2.019096e+01	2.633354e+01
1.740749312089135e-01	1.249700e+01	2.017443e+01	2.631625e+01
1.743190718339135e-01	1.248058e+01	2.015455e+01	2.629486e+01
1.748073530839135e-01	1.246179e+01	2.012894e+01	2.626626e+01
1.752283228297948e-01	1.244953e+01	2.011092e+01	2.624570e+01
1.756716593061990e-01	1.243828e+01	2.009397e+01	2.622618e+01
1.763905505927438e-01	1.242257e+01	2.007041e+01	2.619895e+01
1.773671130927438e-01	1.240727e+01	2.004810e+01	2.617286e+01
1.783436755927438e-01	1.239875e+01	2.003663e+01	2.615897e+01
1.787709216864938e-01	1.241957e+01	2.007893e+01	2.622121e+01
1.791371326239938e-01	1.259470e+01	2.042892e+01	2.674407e+01
1.796254138739938e-01	1.285271e+01	2.094364e+01	2.749177e+01
1.806019763739938e-01	1.340748e+01	2.204905e+01	2.901307e+01
1.809681873114938e-01	1.366881e+01	2.256931e+01	2.958093e+01
1.814564685614938e-01	1.401183e+01	2.325147e+01	3.027634e+01
1.824330310614938e-01	1.464705e+01	2.451328e+01	3.154731e+01
1.828602771552438e-01	1.488761e+01	2.497382e+01	3.200950e+01
1.832264880927438e-01	1.517668e+01	2.531895e+01	3.235497e+01
1.837147693427438e-01	1.550204e+01	2.565847e+01	3.269457e+01
1.844555111595265e-01	1.582539e+01	2.598973e+01	3.302583e+01
1.850959576456288e-01	1.596010e+01	2.612943e+01	3.316549e+01
1.854562404809309e-01	1.598307e+01	2.615482e+01	3.319079e+01
1.860419242932279e-01	1.599266e+01	2.616737e+01	3.320292e+01
1.869849565027691e-01	1.600156e+01	2.617829e+01	3.321224e+01
1.879615190027691e-01	1.600259e+01	2.617649e+01	3.320716e+01
1.889380815027691e-01	1.599148e+01	2.615380e+01	3.317948e+01
1.891517045496441e-01	1.593971e+01	2.605095e+01	3.307516e+01
1.895179154871441e-01	1.571241e+01	2.559820e+01	3.261974e+01
1.900061967371441e-01	1.540535e+01	2.498735e+01	3.200532e+01
1.909827592371441e-01	1.479391e+01	2.377241e+01	3.078324e+01
1.911048295496441e-01	1.471936e+01	2.362447e+01	3.063441e+01
1.913489701746441e-01	1.457328e+01	2.334284e+01	3.035099e+01
1.918372514246441e-01	1.427074e+01	2.280631e+01	2.981090e+01
1.919593217371441e-01	1.418195e+01	2.268180e+01	2.968550e+01
1.922034623621441e-01	1.398712e+01	2.246099e+01	2.946293e+01
1.926917436121441e-01	1.361443e+01	2.206534e+01	2.906376e+01
1.928138139246441e-01	1.352895e+01	2.197665e+01	2.897419e+01
1.930579545496441e-01	1.337883e+01	2.182150e+01	2.881730e+01
1.935462357996441e-01	1.311099e+01	2.154431e+01	2.853661e+01
1.936683061121441e-01	1.305515e+01	2.148629e+01	2.847772e+01
1.939124467371441e-01	1.296705e+01	2.139402e+01	2.838372e+01
1.939734818933941e-01	1.295186e+01	2.137782e+01	2.836708e+01
